full_name,pdes,a,e,i,om,w,primary_type,detail_type1,detail_type2
 10302 (1989 ML),10302,1.273,0.1369,4.38,104.28,183.62,Asteroid,NEO,Amor
 10860 (1995 LE),10860,2.579,0.5744,4.15,257.22,75.49,Asteroid,NEO,Amor
 11054 (1991 FA),11054,1.979,0.4466,3.08,339.06,92.33,Asteroid,NEO,Amor
 11284 Belenus (1990 BA),11284,1.74,0.3374,1.99,311.73,171.15,Asteroid,NEO,Amor
 11398 (1998 YP11),11398,1.721,0.3893,15.02,144.75,74.75,Asteroid,NEO,Amor
 13553 Masaakikoyama (1992 JE),13553,2.189,0.464,5.88,193.46,109.99,Asteroid,NEO,Amor
 14402 (1991 DB),14402,1.715,0.402,11.42,158.22,51.34,Asteroid,NEO,Amor
 15745 Yuliya (1991 PM5),15745,1.72,0.2549,14.43,132.61,140.61,Asteroid,NEO,Amor
 15817 Lucianotesi (1994 QC),15817,1.325,0.1182,13.87,162.49,94.24,Asteroid,NEO,Amor
 16064 Davidharvey (1999 RH27),16064,2.849,0.5893,4.54,335.56,104.76,Asteroid,NEO,Amor
 16636 (1993 QP),16636,2.31,0.4682,7.21,296.81,47.35,Asteroid,NEO,Amor
 16657 (1993 UB),16657,2.278,0.4606,24.95,31.2,21.26,Asteroid,NEO,Amor
 16912 Rhiannon (1998 EP8),16912,1.751,0.2727,24.52,169.18,221.19,Asteroid,NEO,Amor
 17274 (2000 LC16),17274,2.733,0.5537,5.57,305.73,21.4,Asteroid,NEO,Amor
 18106 Blume (2000 NX3),18106,2.444,0.512,4.22,109.18,235,Asteroid,NEO,Amor
 18109 (2000 NG11),18109,1.881,0.3679,0.81,59.54,319.27,Asteroid,NEO,Amor
 18172 (2000 QL7),18172,2.425,0.5112,17.83,338.46,100.7,Asteroid,NEO,Amor
 18736 (1998 NU),18736,2.35,0.4908,2.81,297.43,222.96,Asteroid,NEO,Amor
 18882 (1999 YN4),18882,1.685,0.2321,36.81,291.69,242.64,Asteroid,NEO,Amor
 19356 (1997 GH3),19356,2.509,0.5597,3.01,186.5,334.21,Asteroid,NEO,Amor
 19764 (2000 NF5),19764,2.234,0.4426,1.32,281.49,9.6,Asteroid,NEO,Amor
 20086 (1994 LW),20086,3.183,0.6231,21.77,237.15,58.01,Asteroid,NEO,Amor
 20255 (1998 FX2),20255,2.151,0.4923,9.96,180.94,17.58,Asteroid,NEO,Amor
 20460 Robwhiteley (1999 LO28),20460,1.877,0.4119,33.93,280.06,283.64,Asteroid,NEO,Amor
 20790 (2000 SE45),20790,2.753,0.5562,8.3,302.9,168.9,Asteroid,NEO,Amor
 21088 Chelyabinsk (1992 BL2),21088,1.706,0.2386,38.46,297.84,27.16,Asteroid,NEO,Amor
 21277 (1996 TO5),21277,2.378,0.5204,20.95,167.38,250.1,Asteroid,NEO,Amor
 21374 (1997 WS22),21374,1.269,0.1205,23.98,59.2,197.18,Asteroid,NEO,Amor
 23183 (2000 OY21),23183,1.824,0.4009,40.97,119.65,301.44,Asteroid,NEO,Amor
 23548 (1994 EF2),23548,2.29,0.5176,23.44,345.86,124.28,Asteroid,NEO,Amor
 23606 (1996 AS1),23606,1.75,0.3611,14.36,296.62,357.62,Asteroid,NEO,Amor
 23714 (1998 EC3),23714,2.128,0.5163,8.4,127.86,128.95,Asteroid,NEO,Amor
 24475 (2000 VN2),24475,1.975,0.4412,14.63,76.4,32.68,Asteroid,NEO,Amor
 25916 (2001 CP44),25916,2.562,0.4981,15.74,94.66,199.8,Asteroid,NEO,Amor
 26166 (1995 QN3),26166,3.301,0.6442,14.78,185.71,62.88,Asteroid,NEO,Amor
 26310 (1998 TX6),26310,2.141,0.4685,5.38,210.85,98.91,Asteroid,NEO,Amor
 26760 (2001 KP41),26760,2.852,0.5576,11.02,146.25,155.2,Asteroid,NEO,Amor
 26817 (1987 QB),26817,2.803,0.5942,3.5,153.19,156.58,Asteroid,NEO,Amor
 27031 (1998 RO4),27031,2.14,0.4249,5.36,191.86,111.84,Asteroid,NEO,Amor
 27346 (2000 DN8),27346,1.875,0.399,36.95,135.21,269.25,Asteroid,NEO,Amor
 31210 (1998 BX7),31210,2.605,0.5023,8.96,144.92,271.34,Asteroid,NEO,Amor
 31221 (1998 BP26),31221,1.723,0.2571,20.22,331.03,186.82,Asteroid,NEO,Amor
 31345 (1998 PG),31345,2.016,0.3914,6.5,222.69,156.19,Asteroid,NEO,Amor
 31346 (1998 PB1),31346,2.029,0.4298,5.96,299.73,350.51,Asteroid,NEO,Amor
 32906 (1994 RH),32906,2.248,0.4401,18.94,331.17,92.31,Asteroid,NEO,Amor
 34613 (2000 UR13),34613,2.069,0.3873,6.18,315.29,286.14,Asteroid,NEO,Amor
 35432 (1998 BG9),35432,2.501,0.5451,13.14,115.32,1.6,Asteroid,NEO,Amor
 36017 (1999 ND43),36017,1.524,0.3143,5.55,332.08,52.11,Asteroid,NEO,Amor
 36183 (1999 TX16),36183,1.551,0.3325,38.22,54.65,311.19,Asteroid,NEO,Amor
 37336 (2001 RM),37336,2.253,0.4835,36.67,223.64,118.02,Asteroid,NEO,Amor
 38091 (1999 JT3),38091,2.169,0.4013,9.33,64.82,225.09,Asteroid,NEO,Amor
 39565 (1992 SL),39565,1.642,0.3342,8.6,0.96,344.78,Asteroid,NEO,Amor
  3122 Florence (1981 ET3),3122,1.769,0.4232,22.14,336.06,27.87,Asteroid,PHA,Amor
  3757 Anagolay (1982 XB),3757,1.835,0.4456,3.87,74.93,17.22,Asteroid,PHA,Amor
  6491 (1991 OA),6491,2.501,0.5903,5.95,301.89,323.64,Asteroid,PHA,Amor
 38071 (1999 GU3),38071,2.089,0.5077,12.74,195.49,8.82,Asteroid,PHA,Amor
  1685 Toro (1948 OA),1685,1.368,0.436,9.38,274.22,127.23,Asteroid,NEO,Apollo
  1863 Antinous (1948 EA),1863,2.259,0.6058,18.4,346.42,268.07,Asteroid,NEO,Apollo
  1864 Daedalus (1971 FA),1864,1.461,0.6145,22.22,6.61,325.67,Asteroid,NEO,Apollo
  1865 Cerberus (1971 UA),1865,1.08,0.467,16.1,212.89,325.28,Asteroid,NEO,Apollo
  1866 Sisyphus (1972 XA),1866,1.894,0.5383,41.2,63.46,293.1,Asteroid,NEO,Apollo
  2063 Bacchus (1977 HB),2063,1.078,0.3494,9.43,33.06,55.35,Asteroid,NEO,Apollo
  2212 Hephaistos (1978 SB),2212,2.16,0.8373,11.54,27.5,209.41,Asteroid,NEO,Apollo
  2329 Orthos (1976 WA),2329,2.41,0.6537,24.47,169.28,146.08,Asteroid,NEO,Apollo
  3103 Eger (1982 BB),3103,1.404,0.3543,20.93,129.74,254.09,Asteroid,NEO,Apollo
  3360 Syrinx (1981 VA),3360,2.467,0.7456,21.14,242.48,63.56,Asteroid,NEO,Apollo
  3752 Camillo (1985 PA),3752,1.414,0.3015,55.56,147.96,312.23,Asteroid,NEO,Apollo
  3838 Epona (1986 WA),3838,1.505,0.7023,29.2,235.47,49.73,Asteroid,NEO,Apollo
  4197 Morpheus (1982 TA),4197,2.294,0.7724,12.6,7.01,122.57,Asteroid,NEO,Apollo
  4257 Ubasti (1987 QA),4257,1.647,0.4683,40.72,169.16,278.94,Asteroid,NEO,Apollo
  4341 Poseidon (1987 KF),4341,1.834,0.68,11.84,108.04,15.84,Asteroid,NEO,Apollo
  4544 Xanthus (1989 FB),4544,1.042,0.2502,14.14,23.96,333.86,Asteroid,NEO,Apollo
  5131 (1990 BG),5131,1.486,0.569,36.43,110.38,135.83,Asteroid,NEO,Apollo
  5143 Heracles (1991 VL),5143,1.835,0.7719,9,309.36,227.96,Asteroid,NEO,Apollo
  5496 (1973 NA),5496,2.435,0.6353,68,101.05,118.01,Asteroid,NEO,Apollo
  5645 (1990 SP),5645,1.355,0.3872,13.51,45.71,48.27,Asteroid,NEO,Apollo
  5660 (1974 MA),5660,1.786,0.7619,38.13,302.15,127.01,Asteroid,NEO,Apollo
  5731 Zeus (1988 VP4),5731,2.266,0.6519,11.2,280.59,218.45,Asteroid,NEO,Apollo
  5786 Talos (1991 RC),5786,1.081,0.8269,23.24,161.3,8.38,Asteroid,NEO,Apollo
  5828 (1991 AM),5828,1.698,0.6949,30.12,125.42,152.77,Asteroid,NEO,Apollo
  6047 (1991 TB1),6047,1.455,0.3521,23.48,6.08,103.81,Asteroid,NEO,Apollo
  6053 (1993 BW3),6053,2.147,0.5287,21.58,318.24,74.91,Asteroid,NEO,Apollo
  6063 Jason (1984 KB),6063,2.221,0.7625,4.96,169.06,337.6,Asteroid,NEO,Apollo
  6455 (1992 HE),6455,2.241,0.5724,37.34,26.9,262.81,Asteroid,NEO,Apollo
  6611 (1993 VW),6611,1.696,0.4847,8.7,230.77,281.63,Asteroid,NEO,Apollo
  7025 (1993 QA),7025,1.476,0.3149,12.61,146.6,323.47,Asteroid,NEO,Apollo
  7092 Cadmus (1992 LC),7092,2.544,0.6944,17.78,56.78,94.78,Asteroid,NEO,Apollo
  7350 (1993 VA),7350,1.356,0.3911,7.26,133.11,336.66,Asteroid,NEO,Apollo
  7888 (1993 UC),7888,2.437,0.6633,26.09,165.9,323.04,Asteroid,NEO,Apollo
  7889 (1994 LX),7889,1.262,0.3462,36.91,111.27,349.17,Asteroid,NEO,Apollo
  8035 (1992 TB),8035,1.342,0.4626,28.31,185.62,6.1,Asteroid,NEO,Apollo
  8176 (1991 WA),8176,1.575,0.6431,39.59,66.5,241.9,Asteroid,NEO,Apollo
  8201 (1994 AH2),8201,2.538,0.7067,9.55,164.1,25.11,Asteroid,NEO,Apollo
  8507 (1991 CB1),8507,1.687,0.5945,14.59,317.41,345.79,Asteroid,NEO,Apollo
  9058 (1992 JB),9058,1.557,0.3597,16.09,218.3,307.1,Asteroid,NEO,Apollo
  9162 Kwiila (1987 OA),9162,1.497,0.5955,9.01,180.01,235.8,Asteroid,NEO,Apollo
  9202 (1993 PB),9202,1.424,0.6077,40.8,315.9,212.36,Asteroid,NEO,Apollo
 10145 (1994 CK1),10145,1.901,0.6329,4.55,328.4,27.41,Asteroid,NEO,Apollo
 10165 (1995 BL2),10165,1.235,0.5037,23.9,312.43,348.46,Asteroid,NEO,Apollo
 10563 Izhdubar (1993 WD),10563,1.007,0.2663,63.46,56.56,132.19,Asteroid,NEO,Apollo
 10636 (1998 QK56),10636,1.885,0.5126,13.58,172.94,286.31,Asteroid,NEO,Apollo
 11066 Sigurd (1992 CC1),11066,1.392,0.3755,36.88,349.23,22.01,Asteroid,NEO,Apollo
 11311 Peleus (1993 XN2),11311,2.117,0.5359,25.49,59.32,313.42,Asteroid,NEO,Apollo
 11405 (1999 CV3),11405,1.46,0.3939,22.86,141.26,96.38,Asteroid,NEO,Apollo
 11885 Summanus (1990 SS),11885,1.703,0.4745,19.43,359.78,116.22,Asteroid,NEO,Apollo
 12711 Tukmit (1991 BB),12711,1.186,0.2721,38.49,294.97,322.87,Asteroid,NEO,Apollo
 16816 (1997 UF9),16816,1.443,0.6041,25.92,37.15,157.97,Asteroid,NEO,Apollo
 16834 (1997 WU22),16834,1.468,0.4422,15.99,260.77,334.33,Asteroid,NEO,Apollo
 17181 (1999 UM3),17181,2.37,0.6739,10.65,113.56,36.79,Asteroid,NEO,Apollo
 17182 (1999 VU),17182,1.387,0.5536,9.27,333.51,203.2,Asteroid,NEO,Apollo
 17188 (1999 WC2),17188,2.216,0.6371,29.45,269.77,287.26,Asteroid,NEO,Apollo
 17511 (1992 QN),17511,1.19,0.3588,9.58,355.9,202.42,Asteroid,NEO,Apollo
 20236 (1998 BZ7),20236,2.035,0.5602,6.5,111.31,104.44,Asteroid,NEO,Apollo
 20429 (1998 YN1),20429,1.556,0.4642,6.3,61.75,147.62,Asteroid,NEO,Apollo
 20826 (2000 UV13),20826,2.419,0.6361,31.92,347.29,198.69,Asteroid,NEO,Apollo
 22099 (2000 EX106),22099,1.104,0.2763,9.85,136.44,186.57,Asteroid,NEO,Apollo
 22771 (1999 CU3),22771,1.576,0.5239,11.4,338.95,305.8,Asteroid,NEO,Apollo
 24443 (2000 OG),24443,2.311,0.8223,25.75,178.12,231.17,Asteroid,NEO,Apollo
 24445 (2000 PM8),24445,2.21,0.546,23.78,203.16,219.07,Asteroid,NEO,Apollo
 24761 Ahau (1993 BW2),24761,1.335,0.3058,21.92,121.05,287.53,Asteroid,NEO,Apollo
 25330 (1999 KV4),25330,1.54,0.3709,14.33,50.54,86.09,Asteroid,NEO,Apollo
 26379 (1999 HZ1),26379,1.606,0.5761,8.68,252.11,200.58,Asteroid,NEO,Apollo
 30825 (1990 TG1),30825,2.436,0.681,8.74,205.02,33.68,Asteroid,NEO,Apollo
 30997 (1995 UO5),30997,1.56,0.6434,36.26,38.62,151.16,Asteroid,NEO,Apollo
 31662 (1999 HP11),31662,1.598,0.5479,18.82,13.95,312.04,Asteroid,NEO,Apollo
 35670 (1998 SU27),35670,2.122,0.5964,7.14,271.34,169.83,Asteroid,NEO,Apollo
 36236 (1999 VV),36236,1.332,0.4237,58.04,241.07,19.77,Asteroid,NEO,Apollo
 36284 (2000 DM8),36284,1.484,0.5538,46.76,323.16,317.96,Asteroid,NEO,Apollo
 38086 Beowulf (1999 JB),38086,1.42,0.5663,23.67,165.33,178.97,Asteroid,NEO,Apollo
 38239 (1999 OR3),38239,2.036,0.5756,9.44,199.94,28.1,Asteroid,NEO,Apollo
 40267 (1999 GJ4),40267,1.339,0.8085,34.49,148.22,211.94,Asteroid,NEO,Apollo
 42286 (2001 TN41),42286,1.42,0.3917,24.07,55.83,150.91,Asteroid,NEO,Apollo
 52340 (1992 SY),52340,2.212,0.5473,8.08,5.26,116.33,Asteroid,NEO,Apollo
 52750 (1998 KK17),52750,1.427,0.5248,11.17,141.32,334.14,Asteroid,NEO,Apollo
 52762 (1998 MT24),52762,2.417,0.6527,33.85,309.02,254.45,Asteroid,NEO,Apollo
 53409 (1999 LU7),53409,2.101,0.6283,10.88,206.69,147.76,Asteroid,NEO,Apollo
 54509 YORP (2000 PH5),54509,1.006,0.23,1.6,278.2,278.98,Asteroid,NEO,Apollo
 55408 (2001 TC2),55408,1.1,0.2246,30.39,193.83,353.54,Asteroid,NEO,Apollo
 55532 (2001 WG2),55532,1.794,0.6957,38.54,81.41,132.38,Asteroid,NEO,Apollo
 65733 (1993 PC),65733,1.154,0.4743,4.15,336.92,168.69,Asteroid,NEO,Apollo
 66008 (1998 QH2),66008,1.426,0.3627,61.01,168.93,14.02,Asteroid,NEO,Apollo
 66253 (1999 GT3),66253,1.334,0.8378,19.5,157.37,261.09,Asteroid,NEO,Apollo
 67399 (2000 PJ6),67399,1.301,0.3462,14.69,332.88,225.29,Asteroid,NEO,Apollo
 68267 (2001 EA16),68267,1.51,0.4273,38.83,8.01,317.44,Asteroid,NEO,Apollo
 68348 (2001 LO7),68348,2.155,0.8409,25.36,236.22,181.64,Asteroid,NEO,Apollo
 85818 (1998 XM4),85818,1.657,0.4164,62.72,235.64,301.25,Asteroid,NEO,Apollo
 86666 (2000 FL10),86666,1.463,0.4269,29.01,186.92,258.85,Asteroid,NEO,Apollo
 86829 (2000 GR146),86829,1.463,0.5748,14.37,78.46,31.42,Asteroid,NEO,Apollo
 86878 (2000 HD24),86878,1.342,0.6185,9.47,230.99,214.91,Asteroid,NEO,Apollo
  1566 Icarus (1949 MA),1566,1.078,0.8269,22.8,87.95,31.44,Asteroid,PHA,Apollo
  1620 Geographos (1951 RA),1620,1.246,0.3355,13.34,337.17,276.96,Asteroid,PHA,Apollo
  1862 Apollo (1932 HA),1862,1.471,0.5599,6.35,35.56,286.06,Asteroid,PHA,Apollo
  1981 Midas (1973 EA),1981,1.777,0.65,39.83,356.85,267.82,Asteroid,PHA,Apollo
  2101 Adonis (1936 CA),2101,1.874,0.7643,1.32,349.47,43.63,Asteroid,PHA,Apollo
  2102 Tantalus (1975 YA),2102,1.29,0.2993,64,94.35,61.53,Asteroid,PHA,Apollo
  2135 Aristaeus (1977 HA),2135,1.6,0.5029,23.07,191.12,290.97,Asteroid,PHA,Apollo
  2201 Oljato (1947 XC),2201,2.177,0.7121,2.52,74.91,98.38,Asteroid,PHA,Apollo
  3200 Phaethon (1983 TB),3200,1.271,0.8899,22.27,265.17,322.22,Asteroid,PHA,Apollo
  3361 Orpheus (1982 HR),3361,1.21,0.3229,2.66,188.68,302.36,Asteroid,PHA,Apollo
  3671 Dionysus (1984 KD),3671,2.199,0.541,13.53,82.07,204.3,Asteroid,PHA,Apollo
  4015 Wilson-Harrington (1979 VA),4015,2.624,0.6317,2.8,266.77,95.45,Asteroid,PHA,Apollo
  4034 Vishnu (1986 PA),4034,1.06,0.444,11.17,157.9,296.7,Asteroid,PHA,Apollo
  4179 Toutatis (1989 AC),4179,2.544,0.6246,0.45,125.3,277.89,Asteroid,PHA,Apollo
  4183 Cuno (1959 LM),4183,1.981,0.636,6.67,294.35,237.04,Asteroid,PHA,Apollo
  4450 Pan (1987 SY),4450,1.442,0.5867,5.52,311.77,291.84,Asteroid,PHA,Apollo
  4486 Mithra (1987 SB),4486,2.2,0.6625,3.04,82.24,168.89,Asteroid,PHA,Apollo
  4581 Asclepius (1989 FC),4581,1.023,0.3569,4.92,180.21,255.36,Asteroid,PHA,Apollo
  4660 Nereus (1982 DB),4660,1.485,0.3588,1.45,313.14,159.52,Asteroid,PHA,Apollo
  4769 Castalia (1989 PB),4769,1.063,0.4831,8.89,325.53,121.41,Asteroid,PHA,Apollo
  4953 (1990 MU),4953,1.621,0.6574,24.38,77.53,77.95,Asteroid,PHA,Apollo
  5011 Ptah (6743 P-L),5011,1.636,0.5001,7.41,10.64,105.95,Asteroid,PHA,Apollo
  5189 (1990 UQ),5189,1.552,0.478,3.58,135.07,159.95,Asteroid,PHA,Apollo
  5693 (1993 EA),5693,1.271,0.5852,5.06,96.99,258.97,Asteroid,PHA,Apollo
  6037 (1988 EG),6037,1.271,0.4996,3.5,182.36,242.18,Asteroid,PHA,Apollo
  6239 Minos (1989 QF),6239,1.151,0.4126,3.94,344.57,239.7,Asteroid,PHA,Apollo
  6489 Golevka (1991 JX),6489,2.485,0.6123,2.27,209.47,68.67,Asteroid,PHA,Apollo
  7335 (1989 JA),7335,1.772,0.4846,15.17,61.28,232.3,Asteroid,PHA,Apollo
  7341 (1991 VK),7341,1.841,0.506,5.41,294.74,173.49,Asteroid,PHA,Apollo
  7482 (1994 PC1),7482,1.349,0.3294,33.47,117.86,47.49,Asteroid,PHA,Apollo
  7753 (1988 XB),7753,1.467,0.4816,3.12,73.39,280.07,Asteroid,PHA,Apollo
  7822 (1991 CS),7822,1.123,0.1646,37.12,156.85,249.44,Asteroid,PHA,Apollo
  8014 (1990 MF),8014,1.747,0.4562,1.87,209.84,114.76,Asteroid,PHA,Apollo
  8566 (1996 EN),8566,1.506,0.4303,37.98,164.12,125.14,Asteroid,PHA,Apollo
  9856 (1991 EE),9856,2.242,0.6259,9.83,168.1,116.21,Asteroid,PHA,Apollo
 10115 (1992 SK),10115,1.248,0.3248,15.32,8.9,233.64,Asteroid,PHA,Apollo
 11500 Tomaiyowit (1989 UR),11500,1.08,0.3559,10.31,234.4,289.51,Asteroid,PHA,Apollo
 12538 (1998 OH),12538,1.542,0.4063,24.54,220.7,321.79,Asteroid,PHA,Apollo
 12923 Zephyr (1999 GK4),12923,1.962,0.492,5.31,168.18,147.11,Asteroid,PHA,Apollo
