full_name,pdes,a,e,i,om,w,primary_type,detail_type1,detail_type2
    28 Bellona (A854 EA),28,2.776,0.151,9.43,144.29,343.72,Asteroid,FEO,Main-belt
    29 Amphitrite (A854 EB),29,2.554,0.0737,6.08,356.33,63.02,Asteroid,FEO,Main-belt
    30 Urania (A854 OA),30,2.365,0.1272,2.09,307.42,86.91,Asteroid,FEO,Main-belt
    31 Euphrosyne (A854 RA),31,3.161,0.2163,26.32,30.8,61.71,Asteroid,FEO,Main-belt
    32 Pomona (A854 UA),32,2.588,0.0817,5.52,220.36,338.48,Asteroid,FEO,Main-belt
    33 Polyhymnia (A854 UB),33,2.874,0.3317,1.85,8.44,338.55,Asteroid,FEO,Main-belt
    34 Circe (A855 GA),34,2.687,0.1066,5.5,184.33,330.05,Asteroid,FEO,Main-belt
    35 Leukothea (A855 HA),35,2.996,0.2243,7.93,353.72,213.76,Asteroid,FEO,Main-belt
    36 Atalante (A855 TA),36,2.746,0.306,18.37,358.2,47.81,Asteroid,FEO,Main-belt
    37 Fides (A855 TB),37,2.643,0.1757,3.07,7.27,62.33,Asteroid,FEO,Main-belt
    38 Leda (A856 AA),38,2.743,0.1513,6.95,295.53,169.38,Asteroid,FEO,Main-belt
    39 Laetitia (A856 CA),39,2.769,0.112,10.37,156.94,209.7,Asteroid,FEO,Main-belt
    40 Harmonia (A856 FA),40,2.267,0.0463,4.26,94.16,268.95,Asteroid,FEO,Main-belt
    41 Daphne (A856 KA),41,2.761,0.2744,15.79,178.06,45.97,Asteroid,FEO,Main-belt
    42 Isis (A856 KB),42,2.443,0.2224,8.51,84.18,237.24,Asteroid,FEO,Main-belt
    43 Ariadne (A857 GA),43,2.203,0.1687,3.47,264.76,16.21,Asteroid,FEO,Main-belt
    44 Nysa (A857 KA),44,2.423,0.1491,3.71,131.49,344.17,Asteroid,FEO,Main-belt
    45 Eugenia (A857 MA),45,2.721,0.0834,6.61,147.59,87.54,Asteroid,FEO,Main-belt
    46 Hestia (A857 QA),46,2.525,0.1727,2.35,181.07,177.09,Asteroid,FEO,Main-belt
    47 Aglaja (A857 RA),47,2.88,0.13,4.98,3.05,315.26,Asteroid,FEO,Main-belt
    48 Doris (A857 SA),48,3.117,0.0683,6.56,183.45,250.88,Asteroid,FEO,Main-belt
    49 Pales (A857 SB),49,3.099,0.2217,3.2,285.03,113.22,Asteroid,FEO,Main-belt
    50 Virginia (A857 TA),50,2.651,0.2852,2.84,173.47,199.98,Asteroid,FEO,Main-belt
    51 Nemausa (A858 BA),51,2.365,0.0674,9.98,175.95,1.69,Asteroid,FEO,Main-belt
    52 Europa (A858 CA),52,3.094,0.111,7.48,128.59,342.96,Asteroid,FEO,Main-belt
    53 Kalypso (A858 GA),53,2.619,0.2025,5.18,143.46,314.21,Asteroid,FEO,Main-belt
    54 Alexandra (A858 RA),54,2.711,0.1968,11.8,313.23,345.27,Asteroid,FEO,Main-belt
    55 Pandora (A858 RB),55,2.758,0.1441,7.18,10.36,5.52,Asteroid,FEO,Main-belt
    56 Melete (A857 RB),56,2.597,0.2375,8.08,192.94,104.95,Asteroid,FEO,Main-belt
    57 Mnemosyne (A859 SA),57,3.153,0.1087,15.24,198.9,210.57,Asteroid,FEO,Main-belt
    58 Concordia (A860 FA),58,2.699,0.045,5.07,161.06,34.09,Asteroid,FEO,Main-belt
    59 Elpis (A860 RA),59,2.713,0.1172,8.65,169.93,210.84,Asteroid,FEO,Main-belt
    60 Echo (A860 RB),60,2.392,0.1851,3.6,191.54,271.02,Asteroid,FEO,Main-belt
    61 Danae (A860 RC),61,2.986,0.1645,18.21,333.57,12.79,Asteroid,FEO,Main-belt
    62 Erato (A860 RD),62,3.131,0.1681,2.24,125.12,277.48,Asteroid,FEO,Main-belt
    63 Ausonia (A861 CA),63,2.394,0.1281,5.77,337.7,295.91,Asteroid,FEO,Main-belt
    64 Angelina (A861 EA),64,2.681,0.1258,1.31,308.99,180.91,Asteroid,FEO,Main-belt
    66 Maja (A861 GA),66,2.647,0.1731,3.05,7.5,43.39,Asteroid,FEO,Main-belt
    67 Asia (A861 HA),67,2.422,0.1846,6.03,202.39,107.07,Asteroid,FEO,Main-belt
    68 Leto (A861 HB),68,2.784,0.1848,7.96,44.06,304.72,Asteroid,FEO,Main-belt
    69 Hesperia (A861 HC),69,2.975,0.1701,8.59,184.99,288.8,Asteroid,FEO,Main-belt
    70 Panopaea (A861 JA),70,2.616,0.1809,11.6,47.66,255.76,Asteroid,FEO,Main-belt
    71 Niobe (A861 PA),71,2.754,0.1763,23.24,315.93,267.08,Asteroid,FEO,Main-belt
    72 Feronia (A861 KA),72,2.267,0.121,5.42,207.93,103.19,Asteroid,FEO,Main-belt
    73 Klytia (A862 GA),73,2.665,0.042,2.37,6.85,55.83,Asteroid,FEO,Main-belt
    74 Galatea (A862 QA),74,2.782,0.2363,4.07,197.12,174.73,Asteroid,FEO,Main-belt
    75 Eurydike (A862 SA),75,2.674,0.3036,4.99,359.32,339.5,Asteroid,FEO,Main-belt
    77 Frigga (A862 VA),77,2.667,0.1334,2.42,1.13,61.67,Asteroid,FEO,Main-belt
    78 Diana (A863 EA),78,2.624,0.2037,8.68,333.35,152.94,Asteroid,FEO,Main-belt
    79 Eurynome (A863 RA),79,2.444,0.1907,4.61,206.52,201.57,Asteroid,FEO,Main-belt
    80 Sappho (A864 JA),80,2.296,0.2,8.68,218.65,139.55,Asteroid,FEO,Main-belt
    81 Terpsichore (A864 SA),81,2.851,0.2118,7.81,0.95,51.54,Asteroid,FEO,Main-belt
    82 Alkmene (A864 WA),82,2.763,0.2205,2.83,25.44,110.95,Asteroid,FEO,Main-belt
    83 Beatrix (A865 HA),83,2.432,0.0824,4.97,27.67,169.96,Asteroid,FEO,Main-belt
    84 Klio (A865 QA),84,2.362,0.2361,9.32,327.51,15.05,Asteroid,FEO,Main-belt
    85 Io (A865 SA),85,2.653,0.1938,11.96,203.05,122.9,Asteroid,FEO,Main-belt
    86 Semele (A866 AA),86,3.105,0.2162,4.82,86.07,308.96,Asteroid,FEO,Main-belt
    88 Thisbe (A866 LA),88,2.768,0.1617,5.21,276.43,36.68,Asteroid,FEO,Main-belt
    89 Julia (A866 PA),89,2.55,0.1845,16.13,311.55,45.09,Asteroid,FEO,Main-belt
    90 Antiope (A866 TA),90,3.15,0.1678,2.21,69.94,245.25,Asteroid,FEO,Main-belt
    91 Aegina (A866 VA),91,2.59,0.1071,2.1,10.44,74.36,Asteroid,FEO,Main-belt
    92 Undina (A867 NA),92,3.187,0.1054,9.92,101.41,237.34,Asteroid,FEO,Main-belt
    93 Minerva (A867 QA),93,2.757,0.1393,8.56,4.03,275.38,Asteroid,FEO,Main-belt
    94 Aurora (A867 RA),94,3.156,0.0953,7.97,2.55,60.2,Asteroid,FEO,Main-belt
    95 Arethusa (A867 WA),95,3.067,0.1537,13,242.97,153.34,Asteroid,FEO,Main-belt
    96 Aegle (A868 DA),96,3.051,0.1416,15.98,321.49,208.09,Asteroid,FEO,Main-belt
    97 Klotho (A868 DB),97,2.667,0.258,11.78,159.62,268.54,Asteroid,FEO,Main-belt
    98 Ianthe (A868 HA),98,2.687,0.1875,15.58,353.9,158.4,Asteroid,FEO,Main-belt
    99 Dike (A868 KA),99,2.663,0.1972,13.86,41.41,195.57,Asteroid,FEO,Main-belt
   100 Hekate (A868 NA),100,3.087,0.1687,6.43,127.17,183.78,Asteroid,FEO,Main-belt
   101 Helena (A868 PA),101,2.583,0.1411,10.19,343.37,347.94,Asteroid,FEO,Main-belt
   102 Miriam (A868 QA),102,2.663,0.251,5.17,210.77,147.23,Asteroid,FEO,Main-belt
   103 Hera (A868 RA),103,2.702,0.0792,5.42,136.07,189.34,Asteroid,FEO,Main-belt
   104 Klymene (A868 RB),104,3.146,0.1618,2.79,41.66,31.65,Asteroid,FEO,Main-belt
   105 Artemis (A868 SA),105,2.372,0.1787,21.46,188.22,57.12,Asteroid,FEO,Main-belt
   106 Dione (A868 TA),106,3.181,0.1594,4.58,61.99,331.5,Asteroid,FEO,Main-belt
   109 Felicitas (A869 TA),109,2.694,0.3,7.85,2.76,57.59,Asteroid,FEO,Main-belt
   110 Lydia (A870 HA),110,2.732,0.0799,5.96,56.77,282.18,Asteroid,FEO,Main-belt
   111 Ate (A870 PA),111,2.594,0.1028,4.93,305.69,168.22,Asteroid,FEO,Main-belt
   112 Iphigenia (A870 SA),112,2.433,0.1286,2.6,323.37,17,Asteroid,FEO,Main-belt
   113 Amalthea (A871 EA),113,2.377,0.0858,5.04,123.43,79.1,Asteroid,FEO,Main-belt
   114 Kassandra (A871 OA),114,2.677,0.1383,4.94,164.07,352.66,Asteroid,FEO,Main-belt
   115 Thyra (A871 PA),115,2.379,0.1927,11.59,308.77,96.8,Asteroid,FEO,Main-belt
   116 Sirona (A871 RA),116,2.766,0.1412,3.56,63.7,94.24,Asteroid,FEO,Main-belt
   117 Lomia (A871 RB),117,2.989,0.0235,14.93,348.63,51.57,Asteroid,FEO,Main-belt
   118 Peitho (A872 EA),118,2.438,0.164,7.75,47.64,32.91,Asteroid,FEO,Main-belt
   119 Althaea (A872 GA),119,2.581,0.0816,5.79,203.63,171.41,Asteroid,FEO,Main-belt
   120 Lachesis (A872 GB),120,3.12,0.0511,6.96,341.17,235.35,Asteroid,FEO,Main-belt
   123 Brunhild (A872 OB),123,2.695,0.121,6.41,307.72,125.25,Asteroid,FEO,Main-belt
   124 Alkeste (A872 QA),124,2.629,0.078,2.96,187.91,62.05,Asteroid,FEO,Main-belt
   125 Liberatrix (A872 RA),125,2.745,0.0799,4.67,168.97,110.34,Asteroid,FEO,Main-belt
   126 Velleda (A872 VA),126,2.44,0.1053,2.92,23.24,328.15,Asteroid,FEO,Main-belt
   127 Johanna (A872 VB),127,2.756,0.0658,8.25,31.13,92.8,Asteroid,FEO,Main-belt
   128 Nemesis (A872 WA),128,2.75,0.1281,6.25,76.16,302.99,Asteroid,FEO,Main-belt
   129 Antigone (A873 CA),129,2.867,0.2129,12.27,135.66,110.74,Asteroid,FEO,Main-belt
   130 Elektra (A873 DA),130,3.126,0.2096,22.78,145,237.69,Asteroid,FEO,Main-belt
   131 Vala (A873 KA),131,2.432,0.0688,4.96,65.56,161.66,Asteroid,FEO,Main-belt
   133 Cyrene (A873 QA),133,3.062,0.1344,7.21,318.99,290.29,Asteroid,FEO,Main-belt
   134 Sophrosyne (A873 SA),134,2.564,0.1148,11.61,345.86,85.46,Asteroid,FEO,Main-belt
   135 Hertha (A874 DA),135,2.428,0.2069,2.3,343.56,340.41,Asteroid,FEO,Main-belt
   136 Austria (A874 FA),136,2.287,0.0845,9.58,186.4,132.65,Asteroid,FEO,Main-belt
   137 Meliboea (A874 HA),137,3.125,0.2115,13.43,202.17,107.6,Asteroid,FEO,Main-belt
   138 Tolosa (A874 KA),138,2.45,0.162,3.2,54.72,260.62,Asteroid,FEO,Main-belt
   139 Juewa (A874 TA),139,2.789,0.1713,10.9,1.8,166.32,Asteroid,FEO,Main-belt
   140 Siwa (A874 TB),140,2.733,0.214,3.19,107.17,197.04,Asteroid,FEO,Main-belt
   141 Lumen (A875 AA),141,2.666,0.2135,11.9,318.47,57.74,Asteroid,FEO,Main-belt
   142 Polana (A875 BA),142,2.418,0.1343,2.24,291.21,291.7,Asteroid,FEO,Main-belt
   143 Adria (A875 DA),143,2.761,0.0733,11.44,332.97,252.07,Asteroid,FEO,Main-belt
   144 Vibilia (A875 LA),144,2.654,0.2356,4.82,76.17,294.7,Asteroid,FEO,Main-belt
   145 Adeona (A875 LB),145,2.672,0.1467,12.62,77.33,45.24,Asteroid,FEO,Main-belt
   146 Lucina (A875 LC),146,2.718,0.0662,13.1,83.93,145.46,Asteroid,FEO,Main-belt
   147 Protogeneia (A875 NA),147,3.137,0.0228,1.93,248.23,102.9,Asteroid,FEO,Main-belt
   148 Gallia (A875 PA),148,2.77,0.1881,25.29,145,252.63,Asteroid,FEO,Main-belt
   149 Medusa (A875 SA),149,2.175,0.0655,0.94,159.6,251.02,Asteroid,FEO,Main-belt
   150 Nuwa (A875 UA),150,2.984,0.1237,2.2,206.1,153.91,Asteroid,FEO,Main-belt
   151 Abundantia (A875 VA),151,2.592,0.0355,6.43,38.74,132.88,Asteroid,FEO,Main-belt
   152 Atala (A875 VB),152,3.139,0.0818,12.12,39.88,58.89,Asteroid,FEO,Main-belt
   155 Scylla (A875 VE),155,2.76,0.2725,11.36,40.55,46.7,Asteroid,FEO,Main-belt
   156 Xanthippe (A875 WA),156,2.728,0.2261,9.78,241.81,338.28,Asteroid,FEO,Main-belt
   157 Dejanira (A875 XA),157,2.579,0.1978,12.16,62.03,46.33,Asteroid,FEO,Main-belt
   158 Koronis (A876 AA),158,2.87,0.0529,1.01,277.67,146.83,Asteroid,FEO,Main-belt
   159 Aemilia (A876 BA),159,3.114,0.1014,6.11,133.98,332.73,Asteroid,FEO,Main-belt
   160 Una (A876 DA),160,2.73,0.0672,3.82,8.59,50.67,Asteroid,FEO,Main-belt
   161 Athor (A876 HA),161,2.38,0.1369,9.06,18.55,294.85,Asteroid,FEO,Main-belt
   162 Laurentia (A876 HB),162,3.017,0.1822,6.09,35.45,115.72,Asteroid,FEO,Main-belt
   163 Erigone (A876 HC),163,2.366,0.1924,4.82,160.04,298.58,Asteroid,FEO,Main-belt
   164 Eva (A876 NA),164,2.631,0.3472,24.48,76.79,284.01,Asteroid,FEO,Main-belt
   165 Loreley (A876 PA),165,3.125,0.084,11.24,302.45,345,Asteroid,FEO,Main-belt
   166 Rhodope (A876 PB),166,2.685,0.2109,12.02,128.9,263.98,Asteroid,FEO,Main-belt
   167 Urda (A876 QA),167,2.852,0.0376,2.22,166.11,128.19,Asteroid,FEO,Main-belt
   169 Zelia (A876 SB),169,2.358,0.1306,5.5,354.73,334.76,Asteroid,FEO,Main-belt
   170 Maria (A877 AA),170,2.555,0.0617,14.36,301.21,158.02,Asteroid,FEO,Main-belt
   171 Ophelia (A877 AB),171,3.131,0.132,2.55,100.47,55.55,Asteroid,FEO,Main-belt
   172 Baucis (A877 CA),172,2.379,0.1148,10.02,331.9,359.31,Asteroid,FEO,Main-belt
   173 Ino (A877 PA),173,2.742,0.21,14.2,148.17,228.79,Asteroid,FEO,Main-belt
   174 Phaedra (A877 RA),174,2.865,0.1419,12.11,327.62,290.26,Asteroid,FEO,Main-belt
   175 Andromache (A877 TA),175,3.184,0.2326,3.22,21.27,319.74,Asteroid,FEO,Main-belt
   176 Iduna (A877 TB),176,3.181,0.1718,22.68,200.47,188.68,Asteroid,FEO,Main-belt
   177 Irma (A877 VA),177,2.772,0.2342,1.38,346.97,39.5,Asteroid,FEO,Main-belt
   178 Belisana (A877 VB),178,2.46,0.0421,1.89,51.08,211.74,Asteroid,FEO,Main-belt
   179 Klytaemnestra (A877 VC),179,2.974,0.1099,7.82,251.84,104.24,Asteroid,FEO,Main-belt
   180 Garumna (A878 BA),180,2.721,0.1679,0.87,311.84,175.96,Asteroid,FEO,Main-belt
   181 Eucharis (A878 CB),181,3.126,0.2076,18.89,143.01,318.84,Asteroid,FEO,Main-belt
   182 Elsa (A878 CC),182,2.415,0.1871,2.01,107.18,310.7,Asteroid,FEO,Main-belt
   183 Istria (A878 CD),183,2.795,0.3484,26.4,141.88,264,Asteroid,FEO,Main-belt
   184 Dejopeja (A878 DA),184,3.194,0.0635,1.14,331.55,212.01,Asteroid,FEO,Main-belt
   185 Eunike (A878 EA),185,2.739,0.1273,23.25,153.76,223.76,Asteroid,FEO,Main-belt
   186 Celuta (A878 GA),186,2.362,0.1496,13.19,14.72,315.51,Asteroid,FEO,Main-belt
   187 Lamberta (A878 GB),187,2.728,0.2405,10.58,21.67,196.71,Asteroid,FEO,Main-belt
   188 Menippe (A878 MA),188,2.76,0.1793,11.7,240.83,69.83,Asteroid,FEO,Main-belt
   189 Phthia (A878 RA),189,2.45,0.0359,5.18,203.34,169.25,Asteroid,FEO,Main-belt
   191 Kolga (A878 SB),191,2.895,0.0877,11.52,159.19,226.25,Asteroid,FEO,Main-belt
   192 Nausikaa (A879 DA),192,2.403,0.2461,6.8,343.1,30.61,Asteroid,FEO,Main-belt
   193 Ambrosia (A879 DB),193,2.599,0.2979,11.99,349.5,82.5,Asteroid,FEO,Main-belt
   194 Prokne (A879 FA),194,2.617,0.2375,18.51,159.26,163.15,Asteroid,FEO,Main-belt
   195 Eurykleia (A879 HA),195,2.881,0.0414,6.97,6.97,117.11,Asteroid,FEO,Main-belt
   196 Philomela (A879 JA),196,3.114,0.015,7.26,72.3,203.49,Asteroid,FEO,Main-belt
   197 Arete (A879 KA),197,2.74,0.1632,8.79,81.58,245.99,Asteroid,FEO,Main-belt
   198 Ampella (A879 LA),198,2.459,0.228,9.32,268.22,89.16,Asteroid,FEO,Main-belt
   199 Byblis (A879 NA),199,3.162,0.1825,15.47,88.42,179.68,Asteroid,FEO,Main-belt
   200 Dynamene (A879 OA),200,2.738,0.1328,6.9,324.26,86.92,Asteroid,FEO,Main-belt
   201 Penelope (A879 PA),201,2.679,0.1792,5.76,156.91,181,Asteroid,FEO,Main-belt
   202 Chryseis (A879 RA),202,3.07,0.1042,8.85,136.71,359.75,Asteroid,FEO,Main-belt
   203 Pompeja (A879 SA),203,2.737,0.0596,3.17,347.71,60.04,Asteroid,FEO,Main-belt
   204 Kallisto (A879 TA),204,2.671,0.1736,8.29,205.08,55.51,Asteroid,FEO,Main-belt
   205 Martha (A879 TB),205,2.78,0.0372,10.7,211.72,173.62,Asteroid,FEO,Main-belt
   206 Hersilia (A879 TC),206,2.741,0.0395,3.78,145.04,302.6,Asteroid,FEO,Main-belt
   207 Hedda (A879 UA),207,2.284,0.0296,3.8,29.14,192.21,Asteroid,FEO,Main-belt
   208 Lacrimosa (A879 UB),208,2.891,0.0107,1.74,4.15,128.27,Asteroid,FEO,Main-belt
   209 Dido (A879 UC),209,3.147,0.0551,7.17,0.64,249.83,Asteroid,FEO,Main-belt
   210 Isabella (A879 VA),210,2.723,0.1244,5.26,32.56,14.24,Asteroid,FEO,Main-belt
   211 Isolda (A879 XA),211,3.047,0.1551,3.87,263.18,173.36,Asteroid,FEO,Main-belt
   212 Medea (A880 CA),212,3.117,0.1029,4.28,312.93,105.32,Asteroid,FEO,Main-belt
   213 Lilaea (A880 DA),213,2.753,0.1441,6.8,122.02,162.5,Asteroid,FEO,Main-belt
   214 Aschera (A880 DB),214,2.611,0.0304,3.44,341.93,136.06,Asteroid,FEO,Main-belt
   215 Oenone (A880 GA),215,2.767,0.0338,1.68,24.9,317.9,Asteroid,FEO,Main-belt
   216 Kleopatra (A880 GB),216,2.794,0.2513,13.12,215.31,179.72,Asteroid,FEO,Main-belt
   217 Eudora (A880 QA),217,2.866,0.3104,10.52,162.57,155.17,Asteroid,FEO,Main-belt
   218 Bianca (A880 RA),218,2.668,0.1167,15.2,170.57,62.44,Asteroid,FEO,Main-belt
   219 Thusnelda (A880 SA),219,2.355,0.2231,10.86,200.77,142.71,Asteroid,FEO,Main-belt
   220 Stephania (A881 KA),220,2.348,0.2578,7.6,257.84,78.63,Asteroid,FEO,Main-belt
   221 Eos (A882 BA),221,3.011,0.1019,10.89,141.74,192.52,Asteroid,FEO,Main-belt
   222 Lucia (A882 CA),222,3.141,0.1308,2.15,80.12,181.83,Asteroid,FEO,Main-belt
   223 Rosa (A882 EA),223,3.091,0.1201,1.92,47.54,65.41,Asteroid,FEO,Main-belt
   224 Oceana (A882 FA),224,2.644,0.0451,5.85,352.75,282.64,Asteroid,FEO,Main-belt
   226 Weringia (A882 OA),226,2.711,0.2039,15.97,134.95,153.86,Asteroid,FEO,Main-belt
   227 Philosophia (A882 PA),227,3.173,0.1931,9.09,325.94,268.88,Asteroid,FEO,Main-belt
   228 Agathe (A882 QA),228,2.201,0.242,2.54,313.29,19.19,Asteroid,FEO,Main-belt
   230 Athamantis (A882 RA),230,2.382,0.0618,9.45,239.77,139.02,Asteroid,FEO,Main-belt
   231 Vindobona (A882 RB),231,2.924,0.1546,5.09,350.45,269.19,Asteroid,FEO,Main-belt
   232 Russia (A883 BA),232,2.552,0.1742,6.07,152.2,51.84,Asteroid,FEO,Main-belt
   233 Asterope (A883 JA),233,2.659,0.0997,7.69,221.95,126.55,Asteroid,FEO,Main-belt
   234 Barbara (A883 PA),234,2.386,0.2451,15.38,144.49,192.38,Asteroid,FEO,Main-belt
   235 Carolina (A883 WA),235,2.883,0.0611,9.03,65.99,208.02,Asteroid,FEO,Main-belt
   236 Honoria (A884 HA),236,2.797,0.1906,7.7,185.8,174.24,Asteroid,FEO,Main-belt
   237 Coelestina (A884 MA),237,2.763,0.0712,9.75,84.22,200.87,Asteroid,FEO,Main-belt
   238 Hypatia (A884 NA),238,2.905,0.0908,12.42,183.87,210.61,Asteroid,FEO,Main-belt
   239 Adrastea (A884 QA),239,2.967,0.2364,6.18,180.62,209.76,Asteroid,FEO,Main-belt
   240 Vanadis (A884 QB),240,2.663,0.2087,2.11,115.06,300.95,Asteroid,FEO,Main-belt
   241 Germania (A884 RA),241,3.05,0.1047,5.5,270.29,80.42,Asteroid,FEO,Main-belt
   242 Kriemhild (A884 SA),242,2.861,0.1221,11.35,206.89,278.94,Asteroid,FEO,Main-belt
   243 Ida (A884 SB),243,2.861,0.0442,1.13,323.6,113.82,Asteroid,FEO,Main-belt
   244 Sita (A884 TA),244,2.174,0.1373,2.85,208.93,166.17,Asteroid,FEO,Main-belt
   245 Vera (A885 CA),245,3.097,0.1975,5.18,61.04,331.74,Asteroid,FEO,Main-belt
   246 Asporina (A885 EA),246,2.694,0.1087,15.62,162.28,96.21,Asteroid,FEO,Main-belt
   247 Eukrate (A885 EB),247,2.74,0.2461,24.96,0.05,55.35,Asteroid,FEO,Main-belt
   248 Lameia (A885 LA),248,2.471,0.0673,4.06,246.64,11.7,Asteroid,FEO,Main-belt
   249 Ilse (A885 QA),249,2.378,0.2172,9.62,334.69,42.16,Asteroid,FEO,Main-belt
   250 Bettina (A885 RA),250,3.144,0.1361,12.82,23.81,75.77,Asteroid,FEO,Main-belt
   251 Sophia (A885 TA),251,3.096,0.0933,10.55,155.87,288.96,Asteroid,FEO,Main-belt
   252 Clementina (A885 TB),252,3.162,0.0663,10.04,201.92,159.94,Asteroid,FEO,Main-belt
   253 Mathilde (A885 VA),253,2.648,0.2637,6.74,179.53,157.87,Asteroid,FEO,Main-belt
   254 Augusta (A886 FA),254,2.195,0.1214,4.51,28.43,233.07,Asteroid,FEO,Main-belt
   255 Oppavia (A886 FB),255,2.746,0.0789,9.46,13.58,154.81,Asteroid,FEO,Main-belt
   256 Walpurga (A886 GA),256,2.999,0.0651,13.33,182.91,47.72,Asteroid,FEO,Main-belt
   257 Silesia (A886 GB),257,3.12,0.1122,3.61,34.05,31.82,Asteroid,FEO,Main-belt
   258 Tyche (A886 JA),258,2.615,0.2053,14.33,207.54,155.63,Asteroid,FEO,Main-belt
   259 Aletheia (A886 MA),259,3.131,0.1298,10.81,86.79,166.73,Asteroid,FEO,Main-belt
   261 Prymno (A886 UA),261,2.331,0.0899,3.63,96.58,66.82,Asteroid,FEO,Main-belt
   262 Valda (A886 VA),262,2.553,0.2116,7.67,38.28,26.17,Asteroid,FEO,Main-belt
   263 Dresda (A886 VB),263,2.885,0.0788,1.32,216.15,162.81,Asteroid,FEO,Main-belt
   264 Libussa (A886 YA),264,2.797,0.1359,10.43,49.49,339.83,Asteroid,FEO,Main-belt
   265 Anna (A887 DA),265,2.42,0.267,25.65,335.53,251.49,Asteroid,FEO,Main-belt
   266 Aline (A887 KA),266,2.806,0.1543,13.4,235.81,151.87,Asteroid,FEO,Main-belt
